movie_id,genre
tt0012494,Thriller
tt0012494,Fantasy
tt0012494,Drama
tt0038733,Fantasy
tt0038733,Drama
tt0038733,Comedy
tt0060908,Comedy
tt0060908,Drama
tt0069049,Drama
tt0071145,Drama
tt0082620,Horror
tt0083907,Horror
tt0085953,Horror
tt0095857,Drama
tt0095857,Comedy
tt0097268,Drama
tt0100275,Fantasy
tt0100275,Drama
tt0100275,Comedy
tt0116851,Romance
tt0116851,Family
tt0116851,Drama
tt0137204,Comedy
tt0137204,Adventure
tt0147855,Drama
tt0192669,Sci-Fi
tt0192669,Action
tt0235166,Drama
tt0278422,Comedy
tt0331314,Comedy
tt0331314,Adventure
tt0337383,Drama
tt0339091,Drama
tt0339091,Action
tt0339736,Horror
tt0347307,Drama
tt0352314,Mystery
tt0352314,Drama
tt0352314,Crime
tt0360556,Thriller
tt0360556,Sci-Fi
tt0360556,Drama
tt0361953,Horror
tt0361953,Drama
tt0365545,Romance
tt0365545,Drama
tt0365545,Comedy
tt0385887,Drama
tt0385887,Crime
tt0427543,Drama
tt0437086,Sci-Fi
tt0437086,Adventure
tt0437086,Action
tt0441881,Drama
tt0441881,Action
tt0443474,Drama
tt0448115,Comedy
tt0448115,Adventure
tt0448115,Action
tt0451201,Horror
tt0451279,Fantasy
tt0451279,Adventure
tt0451279,Action
tt0456407,Drama
tt0460890,Drama
tt0490215,Drama
tt0491175,Drama
tt0491175,Crime
tt0491175,Comedy
tt0491203,Romance
tt0491203,Drama
tt0493405,Crime
tt0493405,Comedy
tt0493405,Action
tt0493407,Comedy
tt0498381,Mystery
tt0498381,Horror
tt0498381,Drama
tt0499469,Mystery
tt0499469,Drama
tt0499469,Adventure
tt0765465,Fantasy
tt0765465,Family
tt0800325,Drama
tt0800325,Comedy
tt0835802,Drama
tt0835802,Comedy
tt0837563,Thriller
tt0837563,Mystery
tt0837563,Horror
tt0858419,Drama
tt0859635,Mystery
tt0859635,Crime
tt0859635,Comedy
tt0862930,Thriller
tt0862930,Horror
tt0915458,Family
tt0926132,Horror
tt0926132,Adventure
tt0926132,Action
tt0972544,Thriller
tt0972544,Drama
tt0972544,Crime
tt0974015,Fantasy
tt0974015,Adventure
tt0974015,Action
tt10002654,Drama
tt10006270,Comedy
tt10008784,Drama
tt10009434,Drama
tt10009434,Comedy
tt10012964,Others
tt10016532,Romance
tt10016532,Drama
tt10017956,Drama
tt10022384,Romance
tt10023080,Drama
tt10034272,Family
tt10034272,Drama
tt10039344,Thriller
tt10039344,Horror
tt10039468,Drama
tt10039468,Comedy
tt10045434,Drama
tt10045434,Comedy
tt10046236,Horror
tt10048556,Thriller
tt10055770,Thriller
tt10055770,Drama
tt10055770,Crime
tt10076106,Romance
tt10076106,Drama
tt10076106,Comedy
tt10076722,Action
tt10077998,Crime
tt10077998,Comedy
tt10080924,Drama
tt10084190,Romance
tt10084190,Drama
tt10084190,Comedy
tt10091696,Horror
tt10097364,Drama
tt10102350,Comedy
tt10115562,Comedy
tt10121762,Thriller
tt10121762,Action
tt10122038,Drama
tt10122392,Thriller
tt10125662,Family
tt10125662,Drama
tt10125662,Comedy
tt10133300,Thriller
tt10133300,Crime
tt10133300,Action
tt10140922,Drama
tt10143498,Comedy
tt10145122,Romance
tt10145122,Drama
tt10145122,Comedy
tt10147382,Drama
tt10151260,Crime
tt10151260,Comedy
tt10151260,Action
tt10152214,Family
tt10152214,Comedy
tt10152214,Action
tt10155342,Drama
tt10156112,Romance
tt10156112,Drama
tt10161238,Crime
tt10161238,Comedy
tt10182822,Drama
tt10183616,Comedy
tt10187686,Drama
tt10187686,Comedy
tt10187766,Others
tt10195210,Drama
tt10196142,Drama
tt10196142,Comedy
tt10199586,Drama
tt10199590,Drama
tt10199590,Crime
tt10199640,Drama
tt10199670,Drama
tt10204366,Thriller
tt10204366,Drama
tt10207850,Thriller
tt10207954,Thriller
tt10207954,Action
tt10208194,Drama
tt10208198,Drama
tt10208198,Crime
tt10208198,Action
tt10214826,Crime
tt10214826,Comedy
tt10214826,Action
tt10214842,Thriller
tt10214842,Crime
tt10214842,Comedy
tt10217550,Thriller
tt10217550,Mystery
tt10217550,Crime
tt10218664,Drama
tt10218674,Drama
tt10218674,Action
tt10223546,Romance
tt10223546,Drama
tt10223546,Comedy
tt10228204,Drama
tt10237612,Drama
tt10237612,Comedy
tt10238788,Sci-Fi
tt10238788,Adventure
tt10238788,Action
tt10239930,Others
tt10243678,Drama
tt10243678,Comedy
tt10244760,Drama
tt1024855,Thriller
tt1024855,Action
tt1025100,Sci-Fi
tt1025100,Drama
tt1025100,Action
tt10253466,Others
tt10253816,Adventure
tt10253816,Action
tt10255320,Thriller
tt10263320,Comedy
tt10272534,Drama
tt10275440,Mystery
tt10275440,Drama
tt10275440,Action
tt10276554,Drama
tt10276554,Action
tt10279010,Crime
tt10279010,Action
tt10280220,Horror
tt10280220,Drama
tt10280220,Comedy
tt10295602,Action
tt10298454,Drama
tt10298454,Comedy
tt10298896,Romance
tt10303892,Others
tt10305328,Drama
tt10305328,Adventure
tt10305328,Action
tt10305616,Romance
tt10305616,Drama
tt10305616,Action
tt10310222,Thriller
tt10310222,Drama
tt10318332,Comedy
tt10320050,Family
tt10320050,Comedy
tt10323688,Drama
tt10323688,Crime
tt10323688,Action
tt10324144,Drama
tt10324144,Crime
tt10325070,Horror
tt10327712,Others
tt10327842,Sci-Fi
tt10329842,Action
tt10330046,Drama
tt10334602,Thriller
tt10334602,Action
tt10334624,Horror
tt10334624,Comedy
tt10340618,Comedy
tt10341248,Horror
tt1034385,Sci-Fi
tt1034385,Horror
tt1034385,Adventure
tt1034415,Mystery
tt1034415,Horror
tt1034415,Fantasy
tt10360782,Drama
tt10360782,Comedy
tt10364402,Comedy
tt10370116,Drama
tt10370402,Comedy
tt10370402,Action
tt10370434,Romance
tt10370932,Thriller
tt10370932,Drama
tt10370932,Crime
tt10375682,Crime
tt10375682,Comedy
tt10378798,Horror
tt10378798,Action
tt10380266,Drama
tt10381126,Comedy
tt10381126,Action
tt10384108,Drama
tt10384108,Comedy
tt10384744,Crime
